oehistory188 oetas.fit.OEDisc2History test2 3.0 0.5 0.25 1.0 -30.0 365.0 0.0 0 0.001 1.0e-7 0.005 0.2 0.5 0.05 0.5 0.00001 3.0 0 0.0 0 0.0 365.0 0 1 -0.2 7.0 0.5 4.5 25.0 8.0 25.1002 7.999 10.2 6.8 10.21 6.7 10.22 6.5 10.23 6.2
Generating magnitude of completeness function
magCat = 3.0
capF = 0.5
capG = 0.25
capH = 1.0
t_range_begin = -30.0
t_range_end = 365.0
eligible_mag = 0.0
eligible_count = 0
mag_eps = 0.001
time_eps = 1.0E-7
disc_base = 0.005
disc_delta = 0.2
disc_round = 0.5
disc_gap = 0.05
durlim_ratio = 0.5
durlim_min = 1.0E-5
durlim_max = 3.0
mag_cat_count = 0
division_mag = 0.0
division_count = 0
t_interval_begin = 0.0
t_interval_end = 365.0
before_max_count = 0
mag_cat_int_join = 1
time_mag_array:
  time = -0.2, mag = 7.0
  time = 0.5, mag = 4.5
  time = 25.0, mag = 8.0
  time = 25.1002, mag = 7.999
  time = 10.2, mag = 6.8
  time = 10.21, mag = 6.7
  time = 10.22, mag = 6.5
  time = 10.23, mag = 6.2

rup_list:
  t = -0.2, mag = 7.0
  t = 0.5, mag = 4.5
  t = 25.0, mag = 8.0
  t = 25.1002, mag = 7.999
  t = 10.2, mag = 6.8
  t = 10.21, mag = 6.7
  t = 10.22, mag = 6.5
  t = 10.23, mag = 6.2

OEDisc2History:
magCat = 3.0
rupture_count = 8
0, 0: t=-0.20000, mag=7.000, mc=3.000, cat=-1, x=0.000, y=0.000, tv=-0.20000, ii=false
1, 6: t=0.50000, mag=4.500, mc=3.405, cat=-1, x=0.000, y=0.000, tv=0.50000, ii=false
2, 41: t=10.20000, mag=6.800, mc=3.000, cat=-1, x=0.000, y=0.000, tv=10.20000, ii=false
3, 65: t=10.21000, mag=6.700, mc=5.205, cat=-1, x=0.000, y=0.000, tv=10.21000, ii=false
4, 91: t=10.22000, mag=6.500, mc=5.005, cat=-1, x=0.000, y=0.000, tv=10.22000, ii=false
5, 115: t=10.23000, mag=6.200, mc=5.005, cat=-1, x=0.000, y=0.000, tv=10.23000, ii=false
6, 157: t=25.00000, mag=8.000, mc=3.000, cat=-1, x=0.000, y=0.000, tv=25.00000, ii=false
7, 194: t=25.10020, mag=7.999, mc=4.805, cat=-1, x=0.000, y=0.000, tv=25.10020, ii=false
i_outside_begin = 1
i_inside_begin = 1
i_inside_end = 8
i_outside_end = 8
interval_count = 249
0: time = 0.0, mc = 4.005, ismc = false
1: time = 0.0213094709606, mc = 3.805, ismc = false
2: time = 0.0860306724566, mc = 3.805, ismc = false
3: time = 0.150751873953, mc = 3.605, ismc = false
4: time = 0.253328065611, mc = 3.605, ismc = false
5: time = 0.35590425727, mc = 3.405, ismc = false
6: time = 0.5, mc = 4.5, ismc = false
7: time = 0.50001, mc = 4.5, ismc = false
8: time = 0.50002, mc = 4.5, ismc = false
9: time = 0.50003, mc = 4.5, ismc = false
10: time = 0.500045, mc = 4.5, ismc = false
11: time = 0.5000675, mc = 4.5, ismc = false
12: time = 0.50010125, mc = 4.5, ismc = false
13: time = 0.500151875, mc = 4.5, ismc = false
14: time = 0.5002278125, mc = 4.5, ismc = false
15: time = 0.50034171875, mc = 4.5, ismc = false
16: time = 0.500512578125, mc = 4.5, ismc = false
17: time = 0.500768867187, mc = 4.5, ismc = false
18: time = 0.501153300781, mc = 4.5, ismc = false
19: time = 0.501729951172, mc = 4.5, ismc = false
20: time = 0.502428015269, mc = 4.5, ismc = false
21: time = 0.503126079367, mc = 4.405, ismc = false
22: time = 0.504040290638, mc = 4.405, ismc = false
23: time = 0.504954501908, mc = 4.205, ismc = false
24: time = 0.506403429127, mc = 4.205, ismc = false
25: time = 0.507852356346, mc = 4.005, ismc = false
26: time = 0.510148751232, mc = 4.005, ismc = false
27: time = 0.512445146118, mc = 3.805, ismc = false
28: time = 0.516084686739, mc = 3.805, ismc = false
29: time = 0.519724227361, mc = 3.605, ismc = false
30: time = 0.525492510516, mc = 3.605, ismc = false
31: time = 0.531260793671, mc = 3.405, ismc = false
32: time = 0.546891190507, mc = 3.405, ismc = false
33: time = 0.57033678576, mc = 3.405, ismc = false
34: time = 0.60550517864, mc = 3.405, ismc = false
35: time = 0.643277025824, mc = 3.405, ismc = false
36: time = 0.681048873008, mc = 3.205, ismc = false
37: time = 0.771573309512, mc = 3.205, ismc = false
38: time = 0.907359964268, mc = 3.205, ismc = false
39: time = 1.05186416266, mc = 3.205, ismc = false
40: time = 1.19636836106, mc = 3.0, ismc = true
41: time = 10.2, mc = 6.8, ismc = false
42: time = 10.20001, mc = 6.8, ismc = false
43: time = 10.20002, mc = 6.8, ismc = false
44: time = 10.20003, mc = 6.8, ismc = false
45: time = 10.200045, mc = 6.8, ismc = false
46: time = 10.2000675, mc = 6.8, ismc = false
47: time = 10.20010125, mc = 6.8, ismc = false
48: time = 10.200151875, mc = 6.8, ismc = false
49: time = 10.2002152436, mc = 6.8, ismc = false
50: time = 10.2002786121, mc = 6.605, ismc = false
