oehistory172 oetas.fit.OEDisc2History test2 3.0 0.5 0.25 1.0 -30.0 365.0 0.0 0 0.001 1.0e-7 0.005 0.2 0.5 0.05 0.5 0.00001 3.0 0 0.0 0 0.0 365.0 0 0 0.0 7.0 0.5 4.5 25.0 8.0 25.1002 7.999 10.2 6.8 10.21 6.7 10.22 6.5 10.23 6.2
Generating magnitude of completeness function
magCat = 3.0
capF = 0.5
capG = 0.25
capH = 1.0
t_range_begin = -30.0
t_range_end = 365.0
eligible_mag = 0.0
eligible_count = 0
mag_eps = 0.001
time_eps = 1.0E-7
disc_base = 0.005
disc_delta = 0.2
disc_round = 0.5
disc_gap = 0.05
durlim_ratio = 0.5
durlim_min = 1.0E-5
durlim_max = 3.0
mag_cat_count = 0
division_mag = 0.0
division_count = 0
t_interval_begin = 0.0
t_interval_end = 365.0
before_max_count = 0
mag_cat_int_join = 0
time_mag_array:
  time = 0.0, mag = 7.0
  time = 0.5, mag = 4.5
  time = 25.0, mag = 8.0
  time = 25.1002, mag = 7.999
  time = 10.2, mag = 6.8
  time = 10.21, mag = 6.7
  time = 10.22, mag = 6.5
  time = 10.23, mag = 6.2

rup_list:
  t = 0.0, mag = 7.0
  t = 0.5, mag = 4.5
  t = 25.0, mag = 8.0
  t = 25.1002, mag = 7.999
  t = 10.2, mag = 6.8
  t = 10.21, mag = 6.7
  t = 10.22, mag = 6.5
  t = 10.23, mag = 6.2

OEDisc2History:
magCat = 3.0
rupture_count = 8
0, 0: t=0.00000, mag=7.000, mc=3.000, cat=-1, x=0.000, y=0.000, tv=0.00000, ii=false
1, 41: t=0.50000, mag=4.500, mc=3.605, cat=-1, x=0.000, y=0.000, tv=0.50000, ii=false
2, 81: t=10.20000, mag=6.800, mc=3.000, cat=-1, x=0.000, y=0.000, tv=10.20000, ii=false
3, 105: t=10.21000, mag=6.700, mc=5.205, cat=-1, x=0.000, y=0.000, tv=10.21000, ii=false
4, 131: t=10.22000, mag=6.500, mc=5.005, cat=-1, x=0.000, y=0.000, tv=10.22000, ii=false
5, 155: t=10.23000, mag=6.200, mc=5.005, cat=-1, x=0.000, y=0.000, tv=10.23000, ii=false
6, 204: t=25.00000, mag=8.000, mc=3.000, cat=-1, x=0.000, y=0.000, tv=25.00000, ii=false
7, 241: t=25.10020, mag=7.999, mc=4.805, cat=-1, x=0.000, y=0.000, tv=25.10020, ii=false
i_outside_begin = 1
i_inside_begin = 1
i_inside_end = 8
i_outside_end = 8
interval_count = 408
0: time = 0.0, mc = 7.0, ismc = false
1: time = 1.0E-05, mc = 7.0, ismc = false
2: time = 2.0E-05, mc = 7.0, ismc = false
3: time = 3.0E-05, mc = 7.0, ismc = false
4: time = 4.5E-05, mc = 7.0, ismc = false
5: time = 6.75E-05, mc = 7.0, ismc = false
6: time = 0.00010125, mc = 7.0, ismc = false
7: time = 0.000151875, mc = 7.0, ismc = false
8: time = 0.000221309470961, mc = 6.805, ismc = false
9: time = 0.000286030672457, mc = 6.805, ismc = false
10: time = 0.000350751873953, mc = 6.605, ismc = false
11: time = 0.000453328065611, mc = 6.605, ismc = false
12: time = 0.00055590425727, mc = 6.405, ismc = false
13: time = 0.000718476565139, mc = 6.405, ismc = false
14: time = 0.000881048873008, mc = 6.205, ismc = false
15: time = 0.00113870861703, mc = 6.205, ismc = false
16: time = 0.00139636836106, mc = 6.005, ismc = false
17: time = 0.00180473153533, mc = 6.005, ismc = false
18: time = 0.00221309470961, mc = 5.805, ismc = false
19: time = 0.00286030672457, mc = 5.805, ismc = false
20: time = 0.00350751873953, mc = 5.605, ismc = false
21: time = 0.00453328065611, mc = 5.605, ismc = false
22: time = 0.0055590425727, mc = 5.405, ismc = false
23: time = 0.00718476565139, mc = 5.405, ismc = false
24: time = 0.00881048873008, mc = 5.205, ismc = false
25: time = 0.0113870861703, mc = 5.205, ismc = false
26: time = 0.0139636836106, mc = 5.005, ismc = false
27: time = 0.0180473153533, mc = 5.005, ismc = false
28: time = 0.0221309470961, mc = 4.805, ismc = false
29: time = 0.0286030672457, mc = 4.805, ismc = false
30: time = 0.0350751873953, mc = 4.605, ismc = false
31: time = 0.0453328065611, mc = 4.605, ismc = false
32: time = 0.055590425727, mc = 4.405, ismc = false
33: time = 0.0718476565139, mc = 4.405, ismc = false
34: time = 0.0881048873008, mc = 4.205, ismc = false
35: time = 0.113870861703, mc = 4.205, ismc = false
36: time = 0.139636836106, mc = 4.005, ismc = false
37: time = 0.180473153533, mc = 4.005, ismc = false
38: time = 0.221309470961, mc = 3.805, ismc = false
39: time = 0.286030672457, mc = 3.805, ismc = false
40: time = 0.350751873953, mc = 3.605, ismc = false
41: time = 0.5, mc = 4.5, ismc = false
42: time = 0.50001, mc = 4.5, ismc = false
43: time = 0.50002, mc = 4.5, ismc = false
44: time = 0.50003, mc = 4.5, ismc = false
45: time = 0.500045, mc = 4.5, ismc = false
46: time = 0.5000675, mc = 4.5, ismc = false
47: time = 0.50010125, mc = 4.5, ismc = false
48: time = 0.500151875, mc = 4.5, ismc = false
49: time = 0.5002278125, mc = 4.5, ismc = false
50: time = 0.50034171875, mc = 4.5, ismc = false
51: time = 0.500512578125, mc = 4.5, ismc = false
52: time = 0.500768867187, mc = 4.5, ismc = false
53: time = 0.501153300781, mc = 4.5, ismc = false
54: time = 0.501729951172, mc = 4.5, ismc = false
55: time = 0.502428015269, mc = 4.5, ismc = false
56: time = 0.503126079367, mc = 4.405, ismc = false
57: time = 0.504040290638, mc = 4.405, ismc = false
58: time = 0.504954501908, mc = 4.205, ismc = false
59: time = 0.506403429127, mc = 4.205, ismc = false
60: time = 0.507852356346, mc = 4.005, ismc = false
61: time = 0.510148751232, mc = 4.005, ismc = false
62: time = 0.512445146118, mc = 3.805, ismc = false
63: time = 0.516084686739, mc = 3.805, ismc = false
64: time = 0.519724227361, mc = 3.605, ismc = false
65: time = 0.529586341042, mc = 3.605, ismc = false
66: time = 0.542745299156, mc = 3.605, ismc = false
67: time = 0.55590425727, mc = 3.405, ismc = false
68: time = 0.583856385906, mc = 3.405, ismc = false
69: time = 0.625784578858, mc = 3.405, ismc = false
70: time = 0.688676868288, mc = 3.405, ismc = false
71: time = 0.783015302431, mc = 3.405, ismc = false
72: time = 0.881048873008, mc = 3.205, ismc = false
73: time = 1.07157330951, mc = 3.205, ismc = false
74: time = 1.23397083528, mc = 3.205, ismc = false
75: time = 1.39636836106, mc = 3.0, ismc = true
76: time = 1.84455254158, mc = 3.0, ismc = true
